date,area,median_salary,life_satisfaction,population_size,number_of_jobs,area_size,no_of_houses
2003-03-31,barking and dagenham,24949.25,,166320.25,52750.0,3780.0,68603.75
2003-04-30,barking and dagenham,24994.666666666668,,166308.0,53000.0,3780.0,68629.66666666667
2003-05-31,barking and dagenham,25040.083333333332,,166295.75,53250.0,3780.0,68655.58333333333
2003-06-30,barking and dagenham,25085.5,,166283.5,53500.0,3780.0,68681.5
2003-07-31,barking and dagenham,25130.916666666668,,166271.25,53750.0,3780.0,68707.41666666667
2003-08-31,barking and dagenham,25176.333333333332,,166259.0,54000.0,3780.0,68733.33333333333
2003-09-30,barking and dagenham,25221.75,,166246.75,54250.0,3780.0,68759.25
2003-10-31,barking and dagenham,25267.166666666668,,166234.5,54500.0,3780.0,68785.16666666667
2003-11-30,barking and dagenham,25312.583333333332,,166222.25,54750.0,3780.0,68811.08333333333
2003-12-31,barking and dagenham,25358.0,,166210.0,55000.0,3780.0,68837.0
2004-01-31,barking and dagenham,25418.916666666668,,166160.0,54833.333333333336,3780.0,68842.16666666667
2004-02-29,barking and dagenham,25479.833333333332,,166110.0,54666.666666666664,3780.0,68847.33333333333
2004-03-31,barking and dagenham,25540.75,,166060.0,54500.0,3780.0,68852.5
2004-04-30,barking and dagenham,25601.666666666668,,166010.0,54333.333333333336,3780.0,68857.66666666667
2004-05-31,barking and dagenham,25662.583333333332,,165960.0,54166.666666666664,3780.0,68862.83333333333
2004-06-30,barking and dagenham,25723.5,,165910.0,54000.0,3780.0,68868.0
2004-07-31,barking and dagenham,25784.416666666668,,165860.0,53833.333333333336,3780.0,68873.16666666667
2004-08-31,barking and dagenham,25845.333333333332,,165810.0,53666.666666666664,3780.0,68878.33333333333
2004-09-30,barking and dagenham,25906.25,,165760.0,53500.0,3780.0,68883.5
2004-10-31,barking and dagenham,25967.166666666668,,165710.0,53333.333333333336,3780.0,68888.66666666667
2004-11-30,barking and dagenham,26028.083333333332,,165660.0,53166.666666666664,3780.0,68893.83333333333
2004-12-31,barking and dagenham,26089.0,,165610.0,53000.0,3780.0,68899.0
2005-01-31,barking and dagenham,26138.25,,165665.41666666666,53000.0,3780.0,68929.16666666667
2005-02-28,barking and dagenham,26187.5,,165720.83333333334,53000.0,3780.0,68959.33333333333
2005-03-31,barking and dagenham,26236.75,,165776.25,53000.0,3780.0,68989.5
2005-04-30,barking and dagenham,26286.0,,165831.66666666666,53000.0,3780.0,69019.66666666667
2005-05-31,barking and dagenham,26335.25,,165887.08333333334,53000.0,3780.0,69049.83333333333
2005-06-30,barking and dagenham,26384.5,,165942.5,53000.0,3780.0,69080.0
2005-07-31,barking and dagenham,26433.75,,165997.91666666666,53000.0,3780.0,69110.16666666667
2005-08-31,barking and dagenham,26483.0,,166053.33333333334,53000.0,3780.0,69140.33333333333
2005-09-30,barking and dagenham,26532.25,,166108.75,53000.0,3780.0,69170.5
2005-10-31,barking and dagenham,26581.5,,166164.16666666666,53000.0,3780.0,69200.66666666667
2005-11-30,barking and dagenham,26630.75,,166219.58333333334,53000.0,3780.0,69230.83333333333
2005-12-31,barking and dagenham,26680.0,,166275.0,53000.0,3780.0,69261.0
2006-01-31,barking and dagenham,26669.083333333332,,166348.5,52833.333333333336,3780.0,69283.33333333333
2006-02-28,barking and dagenham,26658.166666666668,,166422.0,52666.666666666664,3780.0,69305.66666666667
2006-03-31,barking and dagenham,26647.25,,166495.5,52500.0,3780.0,69328.0
2006-04-30,barking and dagenham,26636.333333333332,,166569.0,52333.333333333336,3780.0,69350.33333333333
2006-05-31,barking and dagenham,26625.416666666668,,166642.5,52166.666666666664,3780.0,69372.66666666667
2006-06-30,barking and dagenham,26614.5,,166716.0,52000.0,3780.0,69395.0
2006-07-31,barking and dagenham,26603.583333333332,,166789.5,51833.333333333336,3780.0,69417.33333333333
2006-08-31,barking and dagenham,26592.666666666668,,166863.0,51666.666666666664,3780.0,69439.66666666667
2006-09-30,barking and dagenham,26581.75,,166936.5,51500.0,3780.0,69462.0
2006-10-31,barking and dagenham,26570.833333333332,,167010.0,51333.333333333336,3780.0,69484.33333333333
2006-11-30,barking and dagenham,26559.916666666668,,167083.5,51166.666666666664,3780.0,69506.66666666667
2006-12-31,barking and dagenham,26549.0,,167157.0,51000.0,3780.0,69529.0
2007-01-31,barking and dagenham,26853.25,,167313.16666666666,51083.333333333336,3780.0,69554.5
2007-02-28,barking and dagenham,27157.5,,167469.33333333334,51166.666666666664,3780.0,69580.0
2007-03-31,barking and dagenham,27461.75,,167625.5,51250.0,3780.0,69605.5
2007-04-30,barking and dagenham,27766.0,,167781.66666666666,51333.333333333336,3780.0,69631.0
2007-05-31,barking and dagenham,28070.25,,167937.83333333334,51416.666666666664,3780.0,69656.5
2007-06-30,barking and dagenham,28374.5,,168094.0,51500.0,3780.0,69682.0
2007-07-31,barking and dagenham,28678.75,,168250.16666666666,51583.333333333336,3780.0,69707.5
2007-08-31,barking and dagenham,28983.0,,168406.33333333334,51666.666666666664,3780.0,69733.0
2007-09-30,barking and dagenham,29287.25,,168562.5,51750.0,3780.0,69758.5
2007-10-31,barking and dagenham,29591.5,,168718.66666666666,51833.333333333336,3780.0,69784.0
2007-11-30,barking and dagenham,29895.75,,168874.83333333334,51916.666666666664,3780.0,69809.5
2007-12-31,barking and dagenham,30200.0,,169031.0,52000.0,3780.0,69835.0
2008-01-31,barking and dagenham,30133.0,,169316.08333333334,52083.333333333336,3780.0,69894.66666666667
2008-02-29,barking and dagenham,30066.0,,169601.16666666666,52166.666666666664,3780.0,69954.33333333333
2008-03-31,barking and dagenham,29999.0,,169886.25,52250.0,3780.0,70014.0
2008-04-30,barking and dagenham,29932.0,,170171.33333333334,52333.333333333336,3780.0,70073.66666666667
2008-05-31,barking and dagenham,29865.0,,170456.41666666666,52416.666666666664,3780.0,70133.33333333333
2008-06-30,barking and dagenham,29798.0,,170741.5,52500.0,3780.0,70193.0
2008-07-31,barking and dagenham,29731.0,,171026.58333333334,52583.333333333336,3780.0,70252.66666666667
2008-08-31,barking and dagenham,29664.0,,171311.66666666666,52666.666666666664,3780.0,70312.33333333333
2008-09-30,barking and dagenham,29597.0,,171596.75,52750.0,3780.0,70372.0
2008-10-31,barking and dagenham,29530.0,,171881.83333333334,52833.333333333336,3780.0,70431.66666666667
2008-11-30,barking and dagenham,29463.0,,172166.91666666666,52916.666666666664,3780.0,70491.33333333333
2008-12-31,barking and dagenham,29396.0,,172452.0,53000.0,3780.0,70551.0
2009-01-31,barking and dagenham,29527.416666666668,,172879.33333333334,52500.0,3780.0,70575.0
2009-02-28,barking and dagenham,29658.833333333332,,173306.66666666666,52000.0,3780.0,70599.0
2009-03-31,barking and dagenham,29790.25,,173734.0,51500.0,3780.0,70623.0
2009-04-30,barking and dagenham,29921.666666666668,,174161.33333333334,51000.0,3780.0,70647.0
2009-05-31,barking and dagenham,30053.083333333332,,174588.66666666666,50500.0,3780.0,70671.0
2009-06-30,barking and dagenham,30184.5,,175016.0,50000.0,3780.0,70695.0
2009-07-31,barking and dagenham,30315.916666666668,,175443.33333333334,49500.0,3780.0,70719.0
2009-08-31,barking and dagenham,30447.333333333332,,175870.66666666666,49000.0,3780.0,70743.0
2009-09-30,barking and dagenham,30578.75,,176298.0,48500.0,3780.0,70767.0
2009-10-31,barking and dagenham,30710.166666666668,,176725.33333333334,48000.0,3780.0,70791.0
2009-11-30,barking and dagenham,30841.583333333332,,177152.66666666666,47500.0,3780.0,70815.0
2009-12-31,barking and dagenham,30973.0,,177580.0,47000.0,3780.0,70839.0
2010-01-31,barking and dagenham,30769.166666666668,,178018.16666666666,47333.333333333336,3780.0,70847.91666666667
2010-02-28,barking and dagenham,30565.333333333332,,178456.33333333334,47666.666666666664,3780.0,70856.83333333333
2010-03-31,barking and dagenham,30361.5,,178894.5,48000.0,3780.0,70865.75
2010-04-30,barking and dagenham,30157.666666666668,,179332.66666666666,48333.333333333336,3780.0,70874.66666666667
2010-05-31,barking and dagenham,29953.833333333332,,179770.83333333334,48666.666666666664,3780.0,70883.58333333333
2010-06-30,barking and dagenham,29750.0,,180209.0,49000.0,3780.0,70892.5
2010-07-31,barking and dagenham,29546.166666666668,,180647.16666666666,49333.333333333336,3780.0,70901.41666666667
2010-08-31,barking and dagenham,29342.333333333332,,181085.33333333334,49666.666666666664,3780.0,70910.33333333333
2010-09-30,barking and dagenham,29138.5,,181523.5,50000.0,3780.0,70919.25
2010-10-31,barking and dagenham,28934.666666666668,,181961.66666666666,50333.333333333336,3780.0,70928.16666666667
2010-11-30,barking and dagenham,28730.833333333332,,182399.83333333334,50666.666666666664,3780.0,70937.08333333333
2010-12-31,barking and dagenham,28527.0,,182838.0,51000.0,3780.0,70946.0
2011-01-31,barking and dagenham,28499.833333333332,,183187.25,51250.0,3780.0,70957.08333333333
2011-02-28,barking and dagenham,28472.666666666668,,183536.5,51500.0,3780.0,70968.16666666667
2011-03-31,barking and dagenham,28445.5,,183885.75,51750.0,3780.0,70979.25
2011-04-30,barking and dagenham,28418.333333333332,,184235.0,52000.0,3780.0,70990.33333333333
2011-05-31,barking and dagenham,28391.166666666668,,184584.25,52250.0,3780.0,71001.41666666667
2011-06-30,barking and dagenham,28364.0,,184933.5,52500.0,3780.0,71012.5
2011-07-31,barking and dagenham,28336.833333333332,,185282.75,52750.0,3780.0,71023.58333333333
2011-08-31,barking and dagenham,28309.666666666668,,185632.0,53000.0,3780.0,71034.66666666667
2011-09-30,barking and dagenham,28282.5,,185981.25,53250.0,3780.0,71045.75
2011-10-31,barking and dagenham,28255.333333333332,,186330.5,53500.0,3780.0,71056.83333333333
2011-11-30,barking and dagenham,28228.166666666668,,186679.75,53750.0,3780.0,71067.91666666667
2011-12-31,barking and dagenham,28201.0,7.05,187029.0,54000.0,3780.0,71079.0
2012-01-31,barking and dagenham,28611.833333333332,7.053333333333333,187323.25,54083.333333333336,3780.0,71108.33333333333
2012-02-29,barking and dagenham,29022.666666666668,7.056666666666667,187617.5,54166.666666666664,3780.0,71137.66666666667
2012-03-31,barking and dagenham,29433.5,7.06,187911.75,54250.0,3780.0,71167.0
2012-04-30,barking and dagenham,29844.333333333332,7.0633333333333335,188206.0,54333.333333333336,3780.0,71196.33333333333
2012-05-31,barking and dagenham,30255.166666666668,7.066666666666666,188500.25,54416.666666666664,3780.0,71225.66666666667
2012-06-30,barking and dagenham,30666.0,7.07,188794.5,54500.0,3780.0,71255.0
2012-07-31,barking and dagenham,31076.833333333332,7.073333333333333,189088.75,54583.333333333336,3780.0,71284.33333333333
2012-08-31,barking and dagenham,31487.666666666668,7.076666666666666,189383.0,54666.666666666664,3780.0,71313.66666666667
2012-09-30,barking and dagenham,31898.5,7.08,189677.25,54750.0,3780.0,71343.0
2012-10-31,barking and dagenham,32309.333333333332,7.083333333333333,189971.5,54833.333333333336,3780.0,71372.33333333333
2012-11-30,barking and dagenham,32720.166666666664,7.086666666666667,190265.75,54916.666666666664,3780.0,71401.66666666667
2012-12-31,barking and dagenham,33131.0,7.09,190560.0,55000.0,3780.0,71431.0
2013-01-31,barking and dagenham,33057.416666666664,7.083333333333333,190876.0,54916.666666666664,3780.0,71473.16666666667
2013-02-28,barking and dagenham,32983.833333333336,7.076666666666666,191192.0,54833.333333333336,3780.0,71515.33333333333
2013-03-31,barking and dagenham,32910.25,7.07,191508.0,54750.0,3780.0,71557.5
2013-04-30,barking and dagenham,32836.666666666664,7.0633333333333335,191824.0,54666.666666666664,3780.0,71599.66666666667
2013-05-31,barking and dagenham,32763.083333333332,7.056666666666667,192140.0,54583.333333333336,3780.0,71641.83333333333
2013-06-30,barking and dagenham,32689.5,7.05,192456.0,54500.0,3780.0,71684.0
2013-07-31,barking and dagenham,32615.916666666668,7.043333333333333,192772.0,54416.666666666664,3780.0,71726.16666666667
2013-08-31,barking and dagenham,32542.333333333332,7.036666666666666,193088.0,54333.333333333336,3780.0,71768.33333333333
2013-09-30,barking and dagenham,32468.75,7.029999999999999,193404.0,54250.0,3780.0,71810.5
2013-10-31,barking and dagenham,32395.166666666668,7.023333333333333,193720.0,54166.666666666664,3780.0,71852.66666666667
2013-11-30,barking and dagenham,32321.583333333332,7.016666666666667,194036.0,54083.333333333336,3780.0,71894.83333333333
2013-12-31,barking and dagenham,32248.0,7.01,194352.0,54000.0,3780.0,71937.0
2014-01-31,barking and dagenham,32285.5,7.035833333333333,194680.5,54416.666666666664,3780.0,71997.91666666667
2014-02-28,barking and dagenham,32323.0,7.0616666666666665,195009.0,54833.333333333336,3780.0,72058.83333333333
2014-03-31,barking and dagenham,32360.5,7.0875,195337.5,55250.0,3780.0,72119.75
2014-04-30,barking and dagenham,32398.0,7.113333333333333,195666.0,55666.666666666664,3780.0,72180.66666666667
2014-05-31,barking and dagenham,32435.5,7.139166666666666,195994.5,56083.333333333336,3780.0,72241.58333333333
2014-06-30,barking and dagenham,32473.0,7.165,196323.0,56500.0,3780.0,72302.5
2014-07-31,barking and dagenham,32510.5,7.190833333333334,196651.5,56916.666666666664,3780.0,72363.41666666667
2014-08-31,barking and dagenham,32548.0,7.216666666666667,196980.0,57333.333333333336,3780.0,72424.33333333333
2014-09-30,barking and dagenham,32585.5,7.2425,197308.5,57750.0,3780.0,72485.25
2014-10-31,barking and dagenham,32623.0,7.2683333333333335,197637.0,58166.666666666664,3780.0,72546.16666666667
2014-11-30,barking and dagenham,32660.5,7.294166666666667,197965.5,58583.333333333336,3780.0,72607.08333333333
2014-12-31,barking and dagenham,32698.0,7.32,198294.0,59000.0,3780.0,72668.0
2015-01-31,barking and dagenham,32724.666666666668,7.3308333333333335,198601.08333333334,59250.0,3780.0,72710.83333333333
2015-02-28,barking and dagenham,32751.333333333332,7.341666666666667,198908.16666666666,59500.0,3780.0,72753.66666666667
2015-03-31,barking and dagenham,32778.0,7.3525,199215.25,59750.0,3780.0,72796.5
2015-04-30,barking and dagenham,32804.666666666664,7.363333333333333,199522.33333333334,60000.0,3780.0,72839.33333333333
2015-05-31,barking and dagenham,32831.333333333336,7.3741666666666665,199829.41666666666,60250.0,3780.0,72882.16666666667
2015-06-30,barking and dagenham,32858.0,7.385,200136.5,60500.0,3780.0,72925.0
2015-07-31,barking and dagenham,32884.666666666664,7.395833333333334,200443.58333333334,60750.0,3780.0,72967.83333333333
2015-08-31,barking and dagenham,32911.333333333336,7.406666666666667,200750.66666666666,61000.0,3780.0,73010.66666666667
2015-09-30,barking and dagenham,32938.0,7.4175,201057.75,61250.0,3780.0,73053.5
2015-10-31,barking and dagenham,32964.666666666664,7.428333333333334,201364.83333333334,61500.0,3780.0,73096.33333333333
2015-11-30,barking and dagenham,32991.333333333336,7.439166666666667,201671.91666666666,61750.0,3780.0,73139.16666666667
2015-12-31,barking and dagenham,33018.0,7.45,201979.0,62000.0,3780.0,73182.0
2016-01-31,barking and dagenham,32849.333333333336,7.454166666666667,202352.41666666666,62083.333333333336,3780.0,73243.0
2016-02-29,barking and dagenham,32680.666666666668,7.458333333333334,202725.83333333334,62166.666666666664,3780.0,73304.0
2016-03-31,barking and dagenham,32512.0,7.4625,203099.25,62250.0,3780.0,73365.0
2016-04-30,barking and dagenham,32343.333333333332,7.466666666666667,203472.66666666666,62333.333333333336,3780.0,73426.0
2016-05-31,barking and dagenham,32174.666666666668,7.470833333333333,203846.08333333334,62416.666666666664,3780.0,73487.0
2016-06-30,barking and dagenham,32006.0,7.475,204219.5,62500.0,3780.0,73548.0
2016-07-31,barking and dagenham,31837.333333333332,7.479166666666667,204592.91666666666,62583.333333333336,3780.0,73609.0
2016-08-31,barking and dagenham,31668.666666666668,7.483333333333333,204966.33333333334,62666.666666666664,3780.0,73670.0
2016-09-30,barking and dagenham,31500.0,7.4875,205339.75,62750.0,3780.0,73731.0
2016-10-31,barking and dagenham,31331.333333333332,7.491666666666667,205713.16666666666,62833.333333333336,3780.0,73792.0
2016-11-30,barking and dagenham,31162.666666666668,7.495833333333334,206086.58333333334,62916.666666666664,3780.0,73853.0
2016-12-31,barking and dagenham,30994.0,7.5,206460.0,63000.0,3780.0,73914.0
2017-01-31,barking and dagenham,30790.583333333332,7.513333333333334,206814.25,63250.0,3780.0,73963.66666666667
2017-02-28,barking and dagenham,30587.166666666668,7.526666666666666,207168.5,63500.0,3780.0,74013.33333333333
2017-03-31,barking and dagenham,30383.75,7.54,207522.75,63750.0,3780.0,74063.0
2017-04-30,barking and dagenham,30180.333333333332,7.553333333333334,207877.0,64000.0,3780.0,74112.66666666667
2017-05-31,barking and dagenham,29976.916666666668,7.566666666666666,208231.25,64250.0,3780.0,74162.33333333333
2017-06-30,barking and dagenham,29773.5,7.58,208585.5,64500.0,3780.0,74212.0
2017-07-31,barking and dagenham,29570.083333333332,7.593333333333334,208939.75,64750.0,3780.0,74261.66666666667
2017-08-31,barking and dagenham,29366.666666666668,7.6066666666666665,209294.0,65000.0,3780.0,74311.33333333333
2017-09-30,barking and dagenham,29163.25,7.62,209648.25,65250.0,3780.0,74361.0
2017-10-31,barking and dagenham,28959.833333333332,7.633333333333334,210002.5,65500.0,3780.0,74410.66666666667
2017-11-30,barking and dagenham,28756.416666666668,7.6466666666666665,210356.75,65750.0,3780.0,74460.33333333333
2017-12-31,barking and dagenham,28553.0,7.66,210711.0,66000.0,3780.0,74510.0
2018-01-31,barking and dagenham,28673.166666666668,7.648333333333333,210818.25,66000.0,3780.0,74544.41666666667
2018-02-28,barking and dagenham,28793.333333333332,7.636666666666667,210925.5,66000.0,3780.0,74578.83333333333
2018-03-31,barking and dagenham,28913.5,7.625,211032.75,66000.0,3780.0,74613.25
2018-04-30,barking and dagenham,29033.666666666668,7.613333333333333,211140.0,66000.0,3780.0,74647.66666666667
2018-05-31,barking and dagenham,29153.833333333332,7.601666666666667,211247.25,66000.0,3780.0,74682.08333333333
2018-06-30,barking and dagenham,29274.0,7.59,211354.5,66000.0,3780.0,74716.5
2018-07-31,barking and dagenham,29394.166666666668,7.578333333333333,211461.75,66000.0,3780.0,74750.91666666667
2018-08-31,barking and dagenham,29514.333333333332,7.566666666666666,211569.0,66000.0,3780.0,74785.33333333333
2018-09-30,barking and dagenham,29634.5,7.555,211676.25,66000.0,3780.0,74819.75
2018-10-31,barking and dagenham,29754.666666666668,7.543333333333333,211783.5,66000.0,3780.0,74854.16666666667
2018-11-30,barking and dagenham,29874.833333333332,7.531666666666666,211890.75,66000.0,3780.0,74888.58333333333
2018-12-31,barking and dagenham,29995.0,7.52,211998.0,66000.0,3780.0,74923.0
2019-01-31,barking and dagenham,29890.25,7.52,211998.0,66000.0,3780.0,74923.0
2019-02-28,barking and dagenham,29785.5,7.52,211998.0,66000.0,3780.0,74923.0
2019-03-31,barking and dagenham,29680.75,7.52,211998.0,66000.0,3780.0,74923.0
2019-04-30,barking and dagenham,29576.0,7.52,211998.0,66000.0,3780.0,74923.0
2019-05-31,barking and dagenham,29471.25,7.52,211998.0,66000.0,3780.0,74923.0
2019-06-30,barking and dagenham,29366.5,7.52,211998.0,66000.0,3780.0,74923.0
2019-07-31,barking and dagenham,29261.75,7.52,211998.0,66000.0,3780.0,74923.0
2019-08-31,barking and dagenham,29157.0,7.52,211998.0,66000.0,3780.0,74923.0
2019-09-30,barking and dagenham,29052.25,7.52,211998.0,66000.0,3780.0,74923.0
2019-10-31,barking and dagenham,28947.5,7.52,211998.0,66000.0,3780.0,74923.0
2019-11-30,barking and dagenham,28842.75,7.52,211998.0,66000.0,3780.0,74923.0
2019-12-31,barking and dagenham,28738.0,7.52,211998.0,66000.0,3780.0,74923.0
1999-12-31,barnet,19568.0,,313469.0,,,
2000-01-31,barnet,19750.75,,313661.9166666667,,,
2000-02-29,barnet,19933.5,,313854.8333333333,,,
2000-03-31,barnet,20116.25,,314047.75,,,
2000-04-30,barnet,20299.0,,314240.6666666667,,,
2000-05-31,barnet,20481.75,,314433.5833333333,,,
2000-06-30,barnet,20664.5,,314626.5,,,
2000-07-31,barnet,20847.25,,314819.4166666667,,,
2000-08-31,barnet,21030.0,,315012.3333333333,,,
2000-09-30,barnet,21212.75,,315205.25,,,
2000-10-31,barnet,21395.5,,315398.1666666667,,,
2000-11-30,barnet,21578.25,,315591.0833333333,,,
2000-12-31,barnet,21761.0,,315784.0,138000.0,,
2001-01-31,barnet,21690.583333333332,,316092.0833333333,138000.0,,
2001-02-28,barnet,21620.166666666668,,316400.1666666667,138000.0,,
2001-03-31,barnet,21549.75,,316708.25,138000.0,,
2001-04-30,barnet,21479.333333333332,,317016.3333333333,138000.0,,
2001-05-31,barnet,21408.916666666668,,317324.4166666667,138000.0,,
2001-06-30,barnet,21338.5,,317632.5,138000.0,,
2001-07-31,barnet,21268.083333333332,,317940.5833333333,138000.0,,
2001-08-31,barnet,21197.666666666668,,318248.6666666667,138000.0,,
2001-09-30,barnet,21127.25,,318556.75,138000.0,,
2001-10-31,barnet,21056.833333333332,,318864.8333333333,138000.0,,
2001-11-30,barnet,20986.416666666668,,319172.9166666667,138000.0,,
2001-12-31,barnet,20916.0,,319481.0,138000.0,8675.0,130515.0
2002-01-31,barnet,21099.0,,319570.25,137750.0,8675.0,130538.83333333333
2002-02-28,barnet,21282.0,,319659.5,137500.0,8675.0,130562.66666666667
2002-03-31,barnet,21465.0,,319748.75,137250.0,8675.0,130586.5
2002-04-30,barnet,21648.0,,319838.0,137000.0,8675.0,130610.33333333333
2002-05-31,barnet,21831.0,,319927.25,136750.0,8675.0,130634.16666666667
2002-06-30,barnet,22014.0,,320016.5,136500.0,8675.0,130658.0
2002-07-31,barnet,22197.0,,320105.75,136250.0,8675.0,130681.83333333333
2002-08-31,barnet,22380.0,,320195.0,136000.0,8675.0,130705.66666666667
2002-09-30,barnet,22563.0,,320284.25,135750.0,8675.0,130729.5
2002-10-31,barnet,22746.0,,320373.5,135500.0,8675.0,130753.33333333333
2002-11-30,barnet,22929.0,,320462.75,135250.0,8675.0,130777.16666666667
2002-12-31,barnet,23112.0,,320552.0,135000.0,8675.0,130801.0
2003-01-31,barnet,23171.666666666668,,320656.1666666667,135250.0,8675.0,130891.16666666667
2003-02-28,barnet,23231.333333333332,,320760.3333333333,135500.0,8675.0,130981.33333333333
2003-03-31,barnet,23291.0,,320864.5,135750.0,8675.0,131071.5
2003-04-30,barnet,23350.666666666668,,320968.6666666667,136000.0,8675.0,131161.66666666666
2003-05-31,barnet,23410.333333333332,,321072.8333333333,136250.0,8675.0,131251.83333333334
2003-06-30,barnet,23470.0,,321177.0,136500.0,8675.0,131342.0
2003-07-31,barnet,23529.666666666668,,321281.1666666667,136750.0,8675.0,131432.16666666666
2003-08-31,barnet,23589.333333333332,,321385.3333333333,137000.0,8675.0,131522.33333333334
2003-09-30,barnet,23649.0,,321489.5,137250.0,8675.0,131612.5
2003-10-31,barnet,23708.666666666668,,321593.6666666667,137500.0,8675.0,131702.66666666666
2003-11-30,barnet,23768.333333333332,,321697.8333333333,137750.0,8675.0,131792.83333333334
2003-12-31,barnet,23828.0,,321802.0,138000.0,8675.0,131883.0
2004-01-31,barnet,23961.541666666668,,321962.0833333333,137750.0,8675.0,131964.08333333334
2004-02-29,barnet,24095.083333333332,,322122.1666666667,137500.0,8675.0,132045.16666666666
2004-03-31,barnet,24228.625,,322282.25,137250.0,8675.0,132126.25
2004-04-30,barnet,24362.166666666668,,322442.3333333333,137000.0,8675.0,132207.33333333334
2004-05-31,barnet,24495.708333333332,,322602.4166666667,136750.0,8675.0,132288.41666666666
2004-06-30,barnet,24629.25,,322762.5,136500.0,8675.0,132369.5
2004-07-31,barnet,24762.791666666668,,322922.5833333333,136250.0,8675.0,132450.58333333334
2004-08-31,barnet,24896.333333333332,,323082.6666666667,136000.0,8675.0,132531.66666666666
2004-09-30,barnet,25029.875,,323242.75,135750.0,8675.0,132612.75
2004-10-31,barnet,25163.416666666668,,323402.8333333333,135500.0,8675.0,132693.83333333334
2004-11-30,barnet,25296.958333333332,,323562.9166666667,135250.0,8675.0,132774.91666666666
2004-12-31,barnet,25430.5,,323723.0,135000.0,8675.0,132856.0
2005-01-31,barnet,25564.041666666668,,324041.1666666667,135083.33333333334,8675.0,132943.16666666666
2005-02-28,barnet,25697.583333333332,,324359.3333333333,135166.66666666666,8675.0,133030.33333333334
2005-03-31,barnet,25831.125,,324677.5,135250.0,8675.0,133117.5
2005-04-30,barnet,25964.666666666668,,324995.6666666667,135333.33333333334,8675.0,133204.66666666666
2005-05-31,barnet,26098.208333333332,,325313.8333333333,135416.66666666666,8675.0,133291.83333333334
2005-06-30,barnet,26231.75,,325632.0,135500.0,8675.0,133379.0
2005-07-31,barnet,26365.291666666668,,325950.1666666667,135583.33333333334,8675.0,133466.16666666666
2005-08-31,barnet,26498.833333333332,,326268.3333333333,135666.66666666666,8675.0,133553.33333333334
2005-09-30,barnet,26632.375,,326586.5,135750.0,8675.0,133640.5
